,state,city,confirmed,deaths,estimated_population,death_rate,city_ibge_code
0,AP,Amapá,787,4,9187.0,0.1,1600105.0
1,AP,Calçoene,1202,5,11306.0,0.125,1600204.0
2,AP,Cutias,620,2,6101.0,0.0333,1600212.0
3,AP,Ferreira Gomes,590,3,7967.0,0.3333,1600238.0
4,AP,Itaubal,321,0,5617.0,0.0,1600253.0
5,AP,Laranjal do Jari,4785,46,51362.0,0.0909,1600279.0
6,AP,Macapá,20375,520,512902.0,0.0357,1600303.0
7,AP,Mazagão,1566,8,22053.0,0.04,1600402.0
8,AP,Oiapoque,2940,26,27906.0,0.0833,1600501.0
9,AP,Pedra Branca do Amapari,2806,5,17067.0,0.0476,1600154.0
10,AP,Porto Grande,1232,15,22452.0,0.0395,1600535.0
11,AP,Pracuúba,351,6,5246.0,0.2,1600550.0
12,AP,Santana,10063,88,123096.0,0.3333,1600600.0
13,AP,Serra do Navio,697,4,5488.0,0.0134,1600055.0
14,AP,Tartarugalzinho,1408,4,17769.0,0.1,1600709.0
15,AP,Vitória do Jari,2910,13,16254.0,0.0769,1600808.0
16,AC,Acrelândia,492,11,15490.0,0.0667,1200013.0
17,AC,Assis Brasil,719,9,7534.0,0.5,1200054.0
18,AC,Brasiléia,1188,20,26702.0,0.0571,1200104.0
19,AC,Bujari,406,7,10420.0,0.0417,1200138.0
20,AC,Capixaba,257,8,12008.0,0.0419,1200179.0
21,AC,Cruzeiro do Sul,3678,64,89072.0,0.0195,1200203.0
22,AC,Epitaciolândia,529,14,18696.0,0.0451,1200252.0
23,AC,Feijó,1314,22,34884.0,0.125,1200302.0
24,AC,Jordão,215,1,8473.0,0.0182,1200328.0
25,AC,Manoel Urbano,339,2,9581.0,0.0328,1200344.0
26,AC,Marechal Thaumaturgo,652,3,19299.0,0.0068,1200351.0
27,AC,Mâncio Lima,1201,14,19311.0,0.0385,1200336.0
28,AC,Plácido de Castro,426,8,19955.0,0.1,1200385.0
29,AC,Porto Acre,524,16,18824.0,0.0455,1200807.0
30,AC,Porto Walter,321,2,12241.0,0.0084,1200393.0
31,AC,Rio Branco,12035,434,413418.0,0.0567,1200401.0
32,AC,Rodrigues Alves,200,7,19351.0,0.1034,1200427.0
33,AC,Santa Rosa do Purus,367,2,6717.0,0.0217,1200435.0
34,AC,Sena Madureira,1774,14,46511.0,0.0244,1200500.0
35,AC,Senador Guiomard,546,13,23236.0,0.0259,1200450.0
36,AC,Tarauacá,2655,14,43151.0,0.125,1200609.0
37,AC,Xapuri,1489,13,19596.0,0.0256,1200708.0
38,AM,Alvarães,1283,17,16220.0,0.4286,1300029.0
39,AM,Amaturá,977,10,11736.0,0.04,1300060.0
40,AM,Anamã,813,1,13956.0,0.0013,1300086.0
41,AM,Anori,982,13,21477.0,0.027,1300102.0
42,AM,Apuí,277,4,22359.0,0.0148,1300144.0
43,AM,Atalaia do Norte,1326,4,20398.0,0.0909,1300201.0
44,AM,Autazes,1395,37,40290.0,0.127,1300300.0
45,AM,Barcelos,2780,25,27638.0,1.0,1300409.0
46,AM,Barreirinha,1273,23,32483.0,0.0625,1300508.0
47,AM,Benjamin Constant,1641,40,43935.0,0.1316,1300607.0
48,AM,Beruri,994,12,20093.0,1.0,1300631.0
49,AM,Boa Vista do Ramos,440,3,19626.0,0.0333,1300680.0
50,AM,Boca do Acre,1363,13,34635.0,1.0,1300706.0
51,AM,Borba,750,23,41748.0,0.2857,1300805.0
52,AM,Caapiranga,364,9,13283.0,0.0909,1300839.0
53,AM,Canutama,574,3,15807.0,0.006,1300904.0
54,AM,Carauari,3143,20,28508.0,1.0,1301001.0
55,AM,Careiro,1893,22,38348.0,0.5,1301100.0
56,AM,Careiro da Várzea,271,4,30846.0,0.0714,1301159.0
57,AM,Coari,7515,116,85910.0,0.1429,1301209.0
58,AM,Codajás,279,7,29168.0,0.1429,1301308.0
59,AM,Eirunepé,2558,11,35700.0,0.0049,1301407.0
60,AM,Envira,906,2,20393.0,0.0192,1301506.0
61,AM,Fonte Boa,914,19,17005.0,0.0909,1301605.0
62,AM,Guajará,947,15,16937.0,0.0769,1301654.0
63,AM,Humaitá,3653,78,56144.0,0.0303,1301704.0
64,AM,Ipixuna,2155,10,30436.0,0.0048,1301803.0
65,AM,Iranduba,2464,59,49011.0,0.1667,1301852.0
66,AM,Itacoatiara,2473,78,102701.0,0.1262,1301902.0
67,AM,Itamarati,583,6,7814.0,0.0128,1301951.0
68,AM,Itapiranga,1090,10,9230.0,0.1,1302009.0
69,AM,Japurá,485,1,2251.0,0.0045,1302108.0
70,AM,Juruá,572,8,15106.0,0.0159,1302207.0
71,AM,Jutaí,423,16,13886.0,0.1148,1302306.0
72,AM,Lábrea,3004,41,46882.0,0.0195,1302405.0
73,AM,Manacapuru,4232,161,98502.0,0.2,1302504.0
74,AM,Manaquiri,570,21,33049.0,0.5,1302553.0
75,AM,Manaus,63557,2902,2219580.0,0.1023,1302603.0
76,AM,Manicoré,1527,36,56583.0,1.0,1302702.0
77,AM,Maraã,571,4,18261.0,0.0196,1302801.0
78,AM,Maués,2055,48,65040.0,0.5,1302900.0
79,AM,Nhamundá,920,15,21443.0,0.5,1303007.0
80,AM,Nova Olinda do Norte,1102,25,38026.0,0.0904,1303106.0
81,AM,Novo Airão,530,15,19928.0,1.0,1303205.0
82,AM,Novo Aripuanã,820,13,26046.0,0.1333,1303304.0
83,AM,Parintins,6276,144,115363.0,0.5,1303403.0
84,AM,Pauini,1426,4,19522.0,0.0106,1303502.0
85,AM,Presidente Figueiredo,2459,29,37193.0,1.0,1303536.0
86,AM,Rio Preto da Eva,1613,23,34106.0,0.0625,1303569.0
87,AM,Santa Isabel do Rio Negro,2265,19,25865.0,0.1429,1303601.0
88,AM,Santo Antônio do Içá,1313,27,21243.0,0.0317,1303700.0
89,AM,Silves,543,5,9230.0,0.1,1304005.0
90,AM,São Gabriel da Cachoeira,4527,58,46303.0,0.1111,1303809.0
91,AM,São Paulo de Olivença,2025,26,40073.0,0.2,1303908.0
92,AM,São Sebastião do Uatumã,657,7,14352.0,0.0182,1303957.0
93,AM,Tabatinga,1939,83,67182.0,0.4,1304062.0
94,AM,Tapauá,1041,5,17015.0,0.0435,1304104.0
95,AM,Tefé,4041,94,59547.0,0.5,1304203.0
96,AM,Tonantins,649,16,18897.0,0.0815,1304237.0
97,AM,Uarini,839,13,13690.0,0.0163,1304260.0
98,AM,Urucará,795,10,16130.0,0.1429,1304302.0
99,AM,Urucurituba,1287,8,23585.0,0.0385,1304401.0
100,DF,Brasília,189277,3439,3055149.0,0.0342,5300108.0
101,AL,Anadia,504,8,17526.0,1.0,2700201.0
102,AL,Arapiraca,12291,167,233047.0,0.1282,2700300.0
103,AL,Atalaia,628,22,47365.0,0.0645,2700409.0
104,AL,Barra de Santo Antônio,136,14,16068.0,0.2,2700508.0
105,AL,Barra de São Miguel,155,5,8378.0,0.0526,2700607.0
106,AL,Batalha,607,10,18338.0,0.3333,2700706.0
107,AL,Belo Monte,174,4,6710.0,0.1111,2700904.0
108,AL,Belém,59,1,4284.0,0.5,2700805.0
109,AL,Boca da Mata,1252,25,27356.0,0.0769,2701001.0
110,AL,Branquinha,272,6,10460.0,0.049,2701100.0
111,AL,Cacimbinhas,276,3,10889.0,1.0,2701209.0
